Date,Adj Close,Close,High,Low,Open,Volume
2010-02-11,9389153.0,12316800.0,13000000.0,12209600.0,12875200.0,0
2010-02-12,9311094.0,12214400.0,12692800.0,12152000.0,12683200.0,0
2010-02-16,8980559.0,11780800.0,12148800.0,11744000.0,11948800.0,0
2010-02-17,8842734.0,11600000.0,11798400.0,11566400.0,11624000.0,0
2010-02-18,8630508.0,11321600.0,11640000.0,11288000.0,11585600.0,0
2010-02-19,8653680.0,11352000.0,11516800.0,11200000.0,11424000.0,0
2010-02-22,8707349.0,11422400.0,11548800.0,11220800.0,11228800.0,0
2010-02-23,9057399.0,11881600.0,12006400.0,11444800.0,11446400.0,0
2010-02-24,8774430.0,11510400.0,11729600.0,11369600.0,11676800.0,0
2010-02-25,8713446.0,11430400.0,12096000.0,11430400.0,11873600.0,0
2010-02-26,8665880.0,11368000.0,11630400.0,11329600.0,11520000.0,0
2010-03-01,8284116.5,10867200.0,11243200.0,10832000.0,11235200.0,0
2010-03-02,8220693.5,10784000.0,10849600.0,10588800.0,10768000.0,0
2010-03-03,8220693.5,10784000.0,10865600.0,10600000.0,10745600.0,0
2010-03-04,8118239.5,10649600.0,10873600.0,10611200.0,10724800.0,0
2010-03-05,7758431.5,10177600.0,10454400.0,10124800.0,10384000.0,0
2010-03-08,7695008.0,10094400.0,10129600.0,10032000.0,10110400.0,0
2010-03-09,7562060.0,9920000.0,10182400.0,9760000.0,10182400.0,1
2010-03-10,7380326.0,9681600.0,9849600.0,9617600.0,9832000.0,0
2010-03-11,7308364.0,9587200.0,9792000.0,9580800.0,9740800.0,0
2010-03-12,7297389.0,9572800.0,9662400.0,9465600.0,9465600.0,0
2010-03-15,7341299.0,9630400.0,9822400.0,9564800.0,9638400.0,0
2010-03-16,7199812.5,9444800.0,9624000.0,9411200.0,9545600.0,0
2010-03-17,7165662.0,9400000.0,9440000.0,9243200.0,9412800.0,0
2010-03-18,7080285.0,9288000.0,9408000.0,9249600.0,9345600.0,0
2010-03-19,7208350.5,9456000.0,9537600.0,9180800.0,9456000.0,1
2010-03-22,7005883.0,9190400.0,9584000.0,9073600.0,9544000.0,1
2010-03-23,6866839.5,9008000.0,9252800.0,8976000.0,9142400.0,1
2010-03-24,6940022.0,9104000.0,9182400.0,9041600.0,9052800.0,1
2010-03-25,6997345.5,9179200.0,9190400.0,8800000.0,8908800.0,1
2010-03-26,6954657.0,9123200.0,9275200.0,8948800.0,9057600.0,1
2010-03-29,6864400.5,9004800.0,9070400.0,8924800.0,8998400.0,0
2010-03-30,6797317.0,8916800.0,9072000.0,8840000.0,8926400.0,0
2010-03-31,6871718.0,9014400.0,9083200.0,8888000.0,9012800.0,1
2010-04-01,6886355.0,9033600.0,9236800.0,8755200.0,8931200.0,1
2010-04-05,6696082.0,8784000.0,9043200.0,8728000.0,8990400.0,1
2010-04-06,6642418.5,8713600.0,8888000.0,8635200.0,8851200.0,1
2010-04-07,6676568.5,8758400.0,8907200.0,8656000.0,8776000.0,1
2010-04-08,6653395.0,8728000.0,8971200.0,8678400.0,8849600.0,0
2010-04-09,6527767.5,8563200.0,8763200.0,8548800.0,8696000.0,0
2010-04-12,6507032.0,8536000.0,8585600.0,8470400.0,8539200.0,0
2010-04-13,6404579.0,8401600.0,8611200.0,8390400.0,8564800.0,1
2010-04-14,6181375.0,8108800.0,8304000.0,8104000.0,8272000.0,1
